028171|斯柯达|pos|测试/v 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 测试/vn 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 测试/vn 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 斯柯达/car 标/v --/wp 这个/rz 角度/n 看上/pos 去/vf 是/vshi 不是/pos 很/d 帅/nr1 前/f 大/a 灯/n 采用/v 三/m 角/q 折/q 面/n 造型/n ，/wd 立体/b 晶/ng 璨/w 切割/v ，/wd 黑/a 底/f 银色/n 悬浮/vn 线条/n 设计/vn ，/wd 打造/v 多/m 型/k 面/q 几何/n 层次/n 前/f 大/a 灯/n 采用/v AFS/x 随/p 动/v 转向/vi （/wkz 自动/pos 进行/vx 灯光/n 角度/n 调节/v ）/wky 和/cc MDFS/x 大/a 灯/n 动态/n 辅助/vn （/wkz 避免/v 夜间/t 灯光/n 对/p 前方/s 驾驶员/n 或/c 对/p 向/... 驾驶员/n 造成/v 炫目/pos ）/wky 技术/n ，/wd 给/... 驾驶员/n 夜间/t 提供/v 清晰/pos 宽阔/pos 视野/n 全新/pos 速派/car 这/rzv 一/m 路/n ---/wp 实在/pos 不简单/pos 全新/pos 18/m 英寸/q 黑色/n 精/a 车轮/n 毂/x ，/wd 增加/v 行驶/vi 稳定性/pos ，/wd 彰/ag 显/v 时尚/pos 动感/n 视觉/n 效果/n 全新/pos 18/m 英寸/q 黑色/n 精/a 车轮/n 毂/x ，/wd 增加/v 行驶/vi 稳定性/pos ，/wd 彰/ag 显/v 时尚/pos 动感/n 视觉/n 效果/n 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 整装待发/vl 测试/vn 的/ude1 第一/m 步/qv 先/d 将/p 车辆/n 预热/vi 到/v 正常/neg 的/ude1 工/n 况/vg （/wkz 如/v 水温/n ，/wd 油/n 温/nr1 等/udeng ）/wky ，/wd 然后/c 安装/v 测试/v 所/usuo 需/v 的/ude1 设备/n ，/wd 本次/r 所/usuo 用/v 的/ude1 测试/vn 设备/n 可以/v 测试/vn 车辆/n 的/ude1 动力/n 性/ng ，/wd 制动/vi 性/ng 等/udeng 性能/n 参数/n ，/wd 如/v 车辆/n 达到/v 不同/pos 车速/n 时/ng 的/ude1 加速/vn 时间/n ，/wd 距离/n ，/wd 纵横/v 向/... 加速度/n ；/wf 车辆/n 在/p 不同/pos 车速/n 下/f 的/ude1 制动/vn 距离/n ，/wd 时间/n ，/wd 纵横/v 向/... 制动/vi 减/v 速度/n 等/udeng ，/wd 这些/rz 数据/n 有助于/v 我们/rr 进一步/d 了解/v 所/usuo 测/v 车辆/n 的/ude1 技术/n 状况/n 。/wj
028171|速派|pos|测试/v 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 测试/vn 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 测试/vn 的/ude1 主角/n ---/wp 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 斯柯达/car 标/v --/wp 这个/rz 角度/n 看上/pos 去/vf 是/vshi 不是/pos 很/d 帅/nr1 前/f 大/a 灯/n 采用/v 三/m 角/q 折/q 面/n 造型/n ，/wd 立体/b 晶/ng 璨/w 切割/v ，/wd 黑/a 底/f 银色/n 悬浮/vn 线条/n 设计/vn ，/wd 打造/v 多/m 型/k 面/q 几何/n 层次/n 前/f 大/a 灯/n 采用/v AFS/x 随/p 动/v 转向/vi （/wkz 自动/pos 进行/vx 灯光/n 角度/n 调节/v ）/wky 和/cc MDFS/x 大/a 灯/n 动态/n 辅助/vn （/wkz 避免/v 夜间/t 灯光/n 对/p 前方/s 驾驶员/n 或/c 对/p 向/... 驾驶员/n 造成/v 炫目/pos ）/wky 技术/n ，/wd 给/... 驾驶员/n 夜间/t 提供/v 清晰/pos 宽阔/pos 视野/n 全新/pos 速派/car 这/rzv 一/m 路/n ---/wp 实在/pos 不简单/pos 全新/pos 18/m 英寸/q 黑色/n 精/a 车轮/n 毂/x ，/wd 增加/v 行驶/vi 稳定性/pos ，/wd 彰/ag 显/v 时尚/pos 动感/n 视觉/n 效果/n 全新/pos 18/m 英寸/q 黑色/n 精/a 车轮/n 毂/x ，/wd 增加/v 行驶/vi 稳定性/pos ，/wd 彰/ag 显/v 时尚/pos 动感/n 视觉/n 效果/n 全新/pos 速派/car TSI330/x 智/ng 行/ng 版/n 整装待发/vl 测试/vn 的/ude1 第一/m 步/qv 先/d 将/p 车辆/n 预热/vi 到/v 正常/neg 的/ude1 工/n 况/vg （/wkz 如/v 水温/n ，/wd 油/n 温/nr1 等/udeng ）/wky ，/wd 然后/c 安装/v 测试/v 所/usuo 需/v 的/ude1 设备/n ，/wd 本次/r 所/usuo 用/v 的/ude1 测试/vn 设备/n 可以/v 测试/vn 车辆/n 的/ude1 动力/n 性/ng ，/wd 制动/vi 性/ng 等/udeng 性能/n 参数/n ，/wd 如/v 车辆/n 达到/v 不同/pos 车速/n 时/ng 的/ude1 加速/vn 时间/n ，/wd 距离/n ，/wd 纵横/v 向/... 加速度/n ；/wf 车辆/n 在/p 不同/pos 车速/n 下/f 的/ude1 制动/vn 距离/n ，/wd 时间/n ，/wd 纵横/v 向/... 制动/vi 减/v 速度/n 等/udeng ，/wd 这些/rz 数据/n 有助于/v 我们/rr 进一步/d 了解/v 所/usuo 测/v 车辆/n 的/ude1 技术/n 状况/n 。/wj
028169|速腾R-Line|pos|而/cc 高尔夫GTI/car 、/wn 新/a 速腾GLI/car 和/cc 新/a 速腾R-Line/car 这些/rz 产品/n 家族/n 中/f 极/d 具/vg 动感/n 的/ude1 车型/n ，/wd 也/d 在/p 赛场/n 之外/f 将/d 一汽-大众/car 的/ude1 运动/vn 基因/n 体现/v 得/ude3 淋漓尽致/pos ，/wd 为/p 渴望/pos 驾驶/v 乐趣/pos 的/ude1 消费者/n 提供/v 了/ule 个性化/vi 的/ude1 选择/vn 。/wj
028169|高尔夫GTI|pos|而/cc 高尔夫GTI/car 、/wn 新/a 速腾GLI/car 和/cc 新/a 速腾R-Line/car 这些/rz 产品/n 家族/n 中/f 极/d 具/vg 动感/n 的/ude1 车型/n ，/wd 也/d 在/p 赛场/n 之外/f 将/d 一汽-大众/car 的/ude1 运动/vn 基因/n 体现/v 得/ude3 淋漓尽致/pos ，/wd 为/p 渴望/pos 驾驶/v 乐趣/pos 的/ude1 消费者/n 提供/v 了/ule 个性化/vi 的/ude1 选择/vn 。/wj
028169|一汽-大众|neu|而/cc 高尔夫GTI/car 、/wn 新/a 速腾GLI/car 和/cc 新/a 速腾R-Line/car 这些/rz 产品/n 家族/n 中/f 极/d 具/vg 动感/n 的/ude1 车型/n ，/wd 也/d 在/p 赛场/n 之外/f 将/d 一汽-大众/car 的/ude1 运动/vn 基因/n 体现/v 得/ude3 淋漓尽致/pos ，/wd 为/p 渴望/pos 驾驶/v 乐趣/pos 的/ude1 消费者/n 提供/v 了/ule 个性化/vi 的/ude1 选择/vn 。/wj
028169|速腾GLI|pos|而/cc 高尔夫GTI/car 、/wn 新/a 速腾GLI/car 和/cc 新/a 速腾R-Line/car 这些/rz 产品/n 家族/n 中/f 极/d 具/vg 动感/n 的/ude1 车型/n ，/wd 也/d 在/p 赛场/n 之外/f 将/d 一汽-大众/car 的/ude1 运动/vn 基因/n 体现/v 得/ude3 淋漓尽致/pos ，/wd 为/p 渴望/pos 驾驶/v 乐趣/pos 的/ude1 消费者/n 提供/v 了/ule 个性化/vi 的/ude1 选择/vn 。/wj
028168|桑塔纳|neu|正/d 因为/p 它/rr 贵/a 它/rr 又/d 是/vshi 很/d 便宜/pos 的/ude1 因为/c 买/v 对/p 一/m 套/q 产品/n 好过/pos 买/v 错/v 三/m 套/q 产品/n 其实/pos 我/rr 和/cc 您/rr 一样/uyy 希望/neg 能够/v 以/p 最低/a 的/ude1 价格/n 买/v 到/v 最好/pos 的/ude1 品质/n 的/ude1 东西/n 但/c 我/rr 从/p 未/d 发现/v 任何/rz 一/m 家/q 公司/n 以/p 最低/a 的/ude1 价格/n 提供/v 最高/pos 品质/n 的/ude1 产品/n 和/cc 服务/vn 就/d 好/a 象/n 奔弛/car 汽车/n 不/d 可能/pos 卖/v 到/v 桑塔纳/car 的/ude1 价格/n 您/rr 说/v 呢/y ？/ww
028168|奔弛|neu|正/d 因为/p 它/rr 贵/a 它/rr 又/d 是/vshi 很/d 便宜/pos 的/ude1 因为/c 买/v 对/p 一/m 套/q 产品/n 好过/pos 买/v 错/v 三/m 套/q 产品/n 其实/pos 我/rr 和/cc 您/rr 一样/uyy 希望/neg 能够/v 以/p 最低/a 的/ude1 价格/n 买/v 到/v 最好/pos 的/ude1 品质/n 的/ude1 东西/n 但/c 我/rr 从/p 未/d 发现/v 任何/rz 一/m 家/q 公司/n 以/p 最低/a 的/ude1 价格/n 提供/v 最高/pos 品质/n 的/ude1 产品/n 和/cc 服务/vn 就/d 好/a 象/n 奔弛/car 汽车/n 不/d 可能/pos 卖/v 到/v 桑塔纳/car 的/ude1 价格/n 您/rr 说/v 呢/y ？/ww
028164|晶锐|pos|但/c 光/d 有/vyou 颜/ng 值/v 是/vshi 远远/d 不够/neg 的/ude1 ，/wd 毕竟/d 是/vshi 辆/q 车/n 啊/y ，/wd 还/d 得/ude3 开/v 着/uzhe 舒服/pos 吧/y ，/wd 没/v 问题/n ，/wd 晶锐/car 完全/pos 满足/pos 你/rr ，/wd 这/rzv 也/d 是/vshi 我/rr 爱上/pos 晶锐/car 的/ude1 原因/n 。/wj
028163|途安L|pos|得益/vi 于/p 途安L/car 全/a 系/n 均/d 采用/v 电子/n 手/n 刹/v ，/wd 中央/n 扶手/n 箱内/s 部/n 容积/n 和/cc 规整/pos 性/ng 表现/v 均/d 得到/v 显著/pos 提升/v ，/wd 其/rz 深度/n 与/cc 大/a 屏/ng 智能/n 手机/n 相仿/vi ，/wd 此外/c 底部/f 带有/v 丝绒/n 内/f 衬/v ，/wd 能够/v 降低/v 行车/vn 途中/s 的/ude1 内部/f 噪音/n 。/wj
